#,Building,Images,Height,Floors,Building type,Year,Status
238,"Morgan, Lewis & Bockius Building",3,242 ft,19,high-rise building,1957,
239,The Phoenix,3,,19,high-rise building,1925,
240,Park Towne Place West,2,242 ft,19,high-rise building,1959,
241,Park Towne Place East,4,242 ft,19,high-rise building,1959,
242,Park Towne Place North,3,242 ft,19,high-rise building,1959,
243,Park Towne Place South,5,242 ft,19,high-rise building,1959,
244,University Square Apartments,3,242 ft,19,high-rise building,-,
245,1820 Rittenhouse Square,2,229 ft,18,high-rise building,-,
246,3535 Market Street,8,229 ft,18,high-rise building,1973,
247,Penn Wynn House,2,229 ft,18,high-rise building,-,
248,Fairhill Apartments II,,229 ft,18,high-rise building,1962,
249,Fairhill Apartments I,,229 ft,18,high-rise building,1962,
250,The Lofts at 1835 Arch,12,,18,high-rise building,1926,
251,The Lanesborough,12,,18,high-rise building,1929,
252,Casa Farnese,2,229 ft,18,high-rise building,1964,
253,Penn Medicine at Washington Square,,216 ft,17,high-rise building,2013,
254,Sidney Hillman Apartments,1,216 ft,17,high-rise building,-,
255,Thompson Building,3,,17,high-rise building,1923,
256,RiverWest Condominium,2,216 ft,17,high-rise building,-,
257,Hahnemann University Hospital North Tower,5,216 ft,17,high-rise building,-,
258,Sansom Place West,3,216 ft,17,high-rise building,1970,
259,One Independence Mall,6,216 ft,17,high-rise building,1980,
260,Avenue of the Arts Building,1,,17,high-rise building,1889,
261,Spring Garden Towers,15,216 ft,17,high-rise building,-,
262,North x Northwest,,204 ft,16,high-rise building,2017,
263,One Water Street,,204 ft,16,high-rise building,2016,
264,Parc Rittenhouse,8,204 ft,16,high-rise building,1925,
265,Rivers Edge Condominiums,6,204 ft,16,high-rise building,-,
266,The Chatham,9,,16,high-rise building,1926,
267,Stiles Alumni Hall,3,204 ft,16,high-rise building,-,
268,3737 Market Street,1,204 ft,16,high-rise building,-,
269,Philadelphia Criminal Justice Center,4,204 ft,16,high-rise building,1995,
270,The Grandview,3,204 ft,16,high-rise building,1928,
271,Two Fifty South 17th Street,4,204 ft,16,high-rise building,1920,
272,1429 Walnut Street,5,,16,high-rise building,1916,
273,1804 Rittenhouse Square,1,,16,high-rise building,1927,
274,Omni Independence Park Hotel,2,204 ft,16,high-rise building,1990,
275,Museum Towers I,20,204 ft,16,high-rise building,-,
276,Cambria Hotel & Suites Philadelphia Downtown Center City,,191 ft,15,high-rise building,2018,
277,Wills Eye Hospital,9,191 ft,15,high-rise building,2002,
278,Land Title & Trust Building,5,191 ft,15,high-rise building,1898,
279,Community House,,191 ft,15,high-rise building,-,
280,The Apartments at 1220,1,191 ft,15,high-rise building,1952,
281,Chestnut Hill Tower,1,191 ft,15,high-rise building,-,
282,Hathaway House Apartments,,191 ft,15,high-rise building,1968,
283,The Cosmopolitan,,191 ft,15,high-rise building,-,
284,1420 Walnut Street,1,,15,high-rise building,1927,
285,Medical Arts Building,2,,15,high-rise building,1917,
286,The Commonwealth,6,191 ft,15,high-rise building,1901,
287,Towers Hall,5,191 ft,15,high-rise building,1986,
288,Biomedical Research Building II/III,1,191 ft,15,high-rise building,1999,
289,Town House,8,191 ft,15,high-rise building,-,
290,Embassy Apartments,2,,15,high-rise building,1924,
291,Thomas Jefferson Building,5,191 ft,15,high-rise building,1925,
292,1760 Market Street,3,191 ft,15,high-rise building,1981,
293,Philadelphia Airport Marriott,3,191 ft,15,high-rise building,1995,
294,Terminal Commerce Building,5,191 ft,15,high-rise building,1927,
295,Abramson Pediatric Research Center,1,191 ft,15,high-rise building,2003,
296,The Beacon,,178 ft,14,high-rise building,2017,
297,1900 Arch,,178 ft,14,high-rise building,2014,
298,Family Court Building,,178 ft,14,high-rise building,2014,
299,The Radian,,178 ft,14,high-rise building,2008,
300,International House,9,178 ft,14,high-rise building,1970,
301,Parkway House,7,178 ft,14,high-rise building,1953,
302,Beury Building,,178 ft,14,high-rise building,1927,
303,University Crossings,1,178 ft,14,high-rise building,1927,
304,The View at Montgomery I,,178 ft,14,high-rise building,2014,
305,Translational Research Center,,178 ft,14,high-rise building,2011,
306,Blockley Hall,,178 ft,14,high-rise building,1964,
307,Phillip Murray House,,178 ft,14,high-rise building,1968,
308,2101 Cooperative,1,178 ft,14,high-rise building,1953,
309,Harrison Plaza,2,178 ft,14,high-rise building,1955,
