#,Building,Images,Height,Floors,Building type,Year,Status
120,Lovejoy Wharf,,155 ft,17,high-rise building,2017,
121,Millennium Place,,155 ft,15,high-rise building,2013,
122,131 Dartmouth Street,2,155 ft,12,high-rise building,2002,
123,20 Boston Landing,,153 ft,10,high-rise building,2001,
124,Transmission Tower,,153 ft,-,mast (pole),-,
125,80 Guest Street,,151 ft,10,high-rise building,2016,
126,Transmission Tower,,150 ft,-,mast (framework),-,
127,Transmission Tower,,150 ft,-,mast (pole),-,
128,Offices at Channel Center,,150 ft,11,high-rise building,-,
129,New England Conservatory Student Life and Performance Center,,149 ft,10,high-rise building,2017,
130,Little Building,1,148 ft,12,high-rise building,1917,
131,160 State Street,3,144 ft,10,high-rise building,1921,
132,20 Custom House Street,,141 ft,12,high-rise building,1988,
133,Mosaic on the Riverway,,140 ft,11,high-rise building,2016,
134,Boston City Hall,10,138 ft,9,high-rise building,1968,
135,Transmission Tower,,138 ft,-,mast (pole),-,
136,Liberty Mutual Building,1,137 ft,11,high-rise building,1937,
137,745 Atlantic Avenue,1,135 ft,11,high-rise building,1989,
138,Boston Schools Central Administration Building,,133 ft,11,high-rise building,1910,
139,Holiday Inn Select Boston,1,130 ft,14,high-rise building,-,
140,Aloft Boston Seaport,2,126 ft,13,high-rise building,2016,
141,101 Merrimac Street,,124 ft,10,high-rise building,1990,
142,330 Stuart Street,1,124 ft,10,high-rise building,1917,
143,21 Custom House Street,1,120 ft,10,high-rise building,1989,
144,The Bryant,,109 ft,9,low-rise building,2008,
145,Sargent Hall,1,90 ft,7,low-rise building,1999,
146,Laconia Lofts,,72 ft,5,low-rise building,2000,
147,1085 Boylston Street,,70 ft,7,low-rise building,2015,
148,Midway Studios,,67 ft,6,low-rise building,-,
149,Ebenezer Hancock House,,32 ft,3,low-rise building,1767,
150,45 Province Street,6,385 ft,31,high-rise building,2009,
151,AVA Theater District,1,360 ft,29,high-rise building,2015,
152,Avalon Exeter,,348 ft,28,high-rise building,2014,
153,Levinson Tower,1,335 ft,27,high-rise building,1977,
154,Student Village Residence Halls II,,323 ft,26,high-rise building,2009,
155,Tremont on the Common,4,323 ft,26,high-rise building,1969,
156,"South Block, Tower 1",3,323 ft,26,high-rise building,1974,
157,Gloucester Apartment Tower,5,323 ft,26,high-rise building,1967,
158,Fairfield Apartment Tower,1,323 ft,26,high-rise building,1967,
159,Boylston Apartment Tower,2,323 ft,26,high-rise building,1967,
160,Longwood Galleria Apartments,,310 ft,25,high-rise building,-,
161,Charlesbank Apartments,2,298 ft,24,high-rise building,1963,
162,The Revere Hotel at the Boston Common,1,298 ft,24,high-rise building,1970,
163,Ten Emerson Place,2,286 ft,23,high-rise building,-,
164,Eight Whittier Place,1,286 ft,23,high-rise building,1964,
165,The Benjamin Seaport Residences,,273 ft,22,high-rise building,2017,
166,International Village,9,273 ft,22,high-rise building,2009,
167,Renaissance Boston Waterfront Hotel,3,273 ft,22,high-rise building,2008,
168,Hyatt Regency Boston Financial District,1,273 ft,22,high-rise building,1985,
169,John F. Enders Pediatric Research Laboratory,,273 ft,22,high-rise building,-,
170,100 Pier 4,2,261 ft,21,high-rise building,2015,
171,Tower at One Greenway,,261 ft,21,high-rise building,2015,
172,Park Lane Seaport II,1,261 ft,21,high-rise building,2006,
173,Babcock Tower,,261 ft,21,high-rise building,-,
174,50 Milk Street,,261 ft,21,high-rise building,1981,
175,VIA,,248 ft,20,high-rise building,2017,
176,Waterside Place,2,248 ft,20,high-rise building,2014,
177,315 on A,1,248 ft,20,high-rise building,2014,
178,Walnut Park Apartments,,248 ft,20,high-rise building,-,
179,CityView at Longwood,1,248 ft,20,high-rise building,1970,
180,Troy Boston North Tower,,236 ft,19,high-rise building,2015,
181,Eleven Fan Pier Boulevard,,223 ft,18,high-rise building,2013,
182,Shields Tower,,223 ft,18,high-rise building,1967,
183,Marshall Tower,,223 ft,18,high-rise building,1966,
184,Archstone 2000 Commonwealth,,223 ft,18,high-rise building,-,
185,330 Beacon Street,2,223 ft,18,high-rise building,1959,
186,Carson Tower Apartments,,223 ft,18,high-rise building,-,
187,Unity Tower,,223 ft,18,high-rise building,1976,
188,Student Village Residence Halls,,223 ft,18,high-rise building,2000,
189,Fairfield Tower,,223 ft,18,high-rise building,1966,
190,Nine Zero Hotel,2,223 ft,18,high-rise building,2002,
191,The Grandview,4,223 ft,18,high-rise building,2004,
192,100 Northern Avenue,,211 ft,17,high-rise building,2016,
193,The Watermark Seaport,,211 ft,17,high-rise building,2016,
194,Trilogy,1,211 ft,17,high-rise building,2006,
195,The Westin Boston Waterfront,3,211 ft,17,high-rise building,2006,
196,One Eighty Beacon,1,211 ft,17,high-rise building,1966,
