#,Building,Images,Height,Floors,Building type,Year,Status
107,Fifth and Madison,5,255 ft,24,high-rise building,2007,
108,The Martin,,255 ft,23,high-rise building,2013,
109,Royal Crest Condominiums,11,252 ft,26,high-rise building,1974,
110,Washington Athletic Club,13,250 ft,21,high-rise building,1930,
111,Bay Vista Tower,16,249 ft,24,high-rise building,1982,
112,King Street Station,11,247 ft,-,building with towers,1906,
113,Harbor Steps Southeast Tower,8,244 ft,26,high-rise building,1997,
114,Tower at 801,3,242 ft,25,high-rise building,1972,
115,Madison Tower,4,240 ft,24,high-rise building,2006,
116,Cristalla,40,240 ft,24,high-rise building,2005,
117,King County Correctional Facility,18,240 ft,17,high-rise building,1987,
118,Embassy Suites,,240 ft,23,high-rise building,2016,
119,Four Seasons Hotel and Residences,9,240 ft,21,high-rise building,2008,
120,Hawk Tower,,240 ft,21,high-rise building,2017,
121,Pacific Tower,5,239 ft,16,high-rise building,1932,
122,Market Place Tower,12,239 ft,17,high-rise building,1988,
123,1800 Ninth Avenue,8,236 ft,16,high-rise building,1988,
124,1200 Third Avenue,3,230 ft,13,high-rise building,1921,
125,The Roosevelt,7,229 ft,20,high-rise building,1929,
126,Skye at Belltown,14,227 ft,18,high-rise building,1952,
127,Royal Manor Condominium,,225 ft,21,high-rise building,1970,
128,Washington Park Tower,8,223 ft,21,high-rise building,1969,
129,Blanchard Plaza,19,223 ft,15,high-rise building,1982,
130,Tower Building,2,220 ft,17,high-rise building,1930,
131,818 Stewart,4,220 ft,14,high-rise building,2008,
132,2025 Terry Avenue,,216 ft,20,high-rise building,2015,
133,Horizon House II,1,215 ft,19,high-rise building,2007,
134,Pan Pacific Seattle,2,208 ft,19,high-rise building,2006,
135,Enso at 2201 Westlake,3,208 ft,19,high-rise building,2009,
136,Fourth & Battery Building,12,202 ft,12,high-rise building,1977,
137,Panorama House Apartments,,200 ft,19,high-rise building,1980,
138,Ash Grove Cement Towers,,200 ft,-,silo,1986,
139,Seattle Central Library,112,196 ft,11,high-rise building,2004,
140,King County Courthouse,4,195 ft,12,high-rise building,1931,
141,Starbucks Center,3,195 ft,12,high-rise building,1912,
142,Blessed Sacrament Church,16,195 ft,-,church,1925,
143,Residence Inn Seattle Downtown/Convention Center,,193 ft,17,high-rise building,2017,
144,The Post,,193 ft,16,high-rise building,2012,
145,Bell Tower,4,189 ft,17,high-rise building,1970,
146,Nordstrom Medical Tower,2,186 ft,11,high-rise building,1986,
147,Expeditors International Building,5,179 ft,13,high-rise building,1954,
148,1101 Madison Medical Tower,3,178 ft,14,high-rise building,1994,
149,Courtyard by Marriott,5,177 ft,14,high-rise building,1904,
150,United States Courthouse,6,175 ft,12,high-rise building,1940,
151,The Danforth,,175 ft,16,high-rise building,2018,
152,Troy Block North Tower,,175 ft,13,high-rise building,2017,
153,The Alexandria Center,,175 ft,12,high-rise building,2017,
154,Troy Block South Tower,,175 ft,12,high-rise building,2017,
155,325 9th Avenue North,,175 ft,12,high-rise building,2015,
156,Harborview Building,21,174 ft,15,high-rise building,1931,
157,St. James Cathedral,22,170 ft,-,church,1907,
158,M Street,4,169 ft,18,high-rise building,2007,
159,Justice Center,38,168 ft,12,high-rise building,2002,
160,Olympic Hotel,1,168 ft,14,high-rise building,1924,
161,9th & Thomas,,168 ft,12,high-rise building,2017,
162,Transmission Tower,,166 ft,-,mast (pole),-,
163,Melbourne Tower,7,166 ft,11,high-rise building,1928,
164,Harbor Steps Southwest Tower,7,165 ft,17,high-rise building,1994,
165,Beacon Tower,,165 ft,15,high-rise building,1976,
166,Metro-King County Office Building,2,165 ft,13,high-rise building,2007,
167,Cobb Building,7,164 ft,11,high-rise building,1910,
168,2201 Westlake,,160 ft,12,high-rise building,2009,
169,Mayflower Park Hotel,6,160 ft,12,high-rise building,1927,
170,Swedish Hospital Providence Campus,1,160 ft,10,high-rise building,1911,
171,St. Joseph&#039;s Church,6,160 ft,-,church,1932,
172,Charter Hotel,,160 ft,16,high-rise building,2018,
173,Cyrene,,160 ft,16,high-rise building,2017,
174,Hilton Garden Inn Seattle Downtown,,160 ft,14,high-rise building,2015,
175,Verve,,160 ft,14,high-rise building,2014,
176,400 Fairview,,160 ft,13,high-rise building,2015,
177,Swedish Medical Center,5,160 ft,13,high-rise building,1984,
178,hill7,,160 ft,11,high-rise building,2015,
179,Active Voice Building,7,156 ft,11,high-rise building,1963,
180,Virginia Mason East Tower,,155 ft,8,high-rise building,2010,
181,Transmission Tower,,154 ft,-,mast (pole),-,
182,Park Shore,7,152 ft,16,high-rise building,1966,
183,Opus Center South,1,150 ft,11,high-rise building,2001,
