#,Building,Images,Height,Floors,Building type,Year,Status
1,One World Trade Center,416,"1,776 ft",104,skyscraper,2014,
2,432 Park Avenue,128,"1,398 ft",96,skyscraper,2015,
3,Empire State Building,179,"1,250 ft",102,skyscraper,1931,
4,Bank of America Tower,436,"1,200 ft",58,skyscraper,2009,
5,Chrysler Building,108,"1,046 ft",77,skyscraper,1930,
6,New York Times Tower,311,"1,046 ft",52,skyscraper,2007,
7,One57,78,"1,005 ft",75,skyscraper,2014,
8,Four World Trade Center,159,975 ft,72,skyscraper,2014,
9,70 Pine Street,33,952 ft,66,skyscraper,1932,
10,30 Park Place,97,937 ft,67,skyscraper,2016,
11,The Trump Building,59,927 ft,70,skyscraper,1930,
12,601 Lexington,72,915 ft,59,skyscraper,1977,
13,10 Hudson Yards,110,878 ft,52,skyscraper,2016,
14,New York by Gehry at Eight Spruce Street,304,870 ft,76,skyscraper,2011,
15,Trump World Tower,45,861 ft,72,skyscraper,2001,
16,Comcast Building,104,850 ft,69,skyscraper,1933,
17,56 Leonard Street,185,821 ft,57,skyscraper,2016,
18,CitySpire Center,25,814 ft,75,skyscraper,1987,
19,One Chase Manhattan Plaza,40,813 ft,60,skyscraper,1961,
20,4 Times Square,64,809 ft,48,skyscraper,1999,
21,MetLife Building,50,808 ft,59,skyscraper,1963,
22,Bloomberg Tower,142,806 ft,54,skyscraper,2005,
23,Woolworth Building,71,792 ft,57,skyscraper,1913,
24,One Worldwide Plaza,22,778 ft,50,skyscraper,1989,
25,50 West,97,778 ft,64,skyscraper,2017,
26,Madison Square Park Tower,44,777 ft,64,skyscraper,2017,
27,Carnegie Hall Tower,24,757 ft,60,skyscraper,1991,
28,383 Madison Avenue,41,755 ft,47,skyscraper,2001,
29,Courtyard and Residence Inn Manhattan/Central Park,32,753 ft,68,skyscraper,2013,
30,AXA Center,19,752 ft,54,skyscraper,1986,
31,One Penn Plaza,34,750 ft,57,skyscraper,1972,
32,1251 Avenue of the Americas,17,750 ft,54,skyscraper,1971,
33,Time Warner Center South Tower,58,750 ft,55,skyscraper,2004,
34,Time Warner Center North Tower,57,750 ft,55,skyscraper,2004,
35,Goldman Sachs Headquarters,292,749 ft,44,skyscraper,2010,
36,60 Wall Street,25,745 ft,55,skyscraper,1989,
37,One Astor Plaza,21,745 ft,54,skyscraper,1972,
38,One Liberty Plaza,24,743 ft,54,skyscraper,1973,
39,20 Exchange Place,52,741 ft,57,skyscraper,1931,
40,Seven World Trade Center,226,741 ft,49,skyscraper,2006,
41,200 Vesey Street,35,739 ft,51,skyscraper,1986,
42,1540 Broadway,22,733 ft,42,skyscraper,1990,
43,Times Square Tower,70,726 ft,47,skyscraper,2004,
44,Metropolitan Tower,8,716 ft,68,skyscraper,1987,
45,One Hundred East Fifty Third Street,45,715 ft,61,skyscraper,2017,
46,JPMorgan Chase Tower,14,707 ft,52,skyscraper,1960,
47,General Motors Building,23,705 ft,50,skyscraper,1968,
48,Metropolitan Life Tower,62,700 ft,50,skyscraper,1909,
49,500 Fifth Avenue,51,697 ft,60,skyscraper,1931,
50,Verrazano-Narrows Bridge,4,693 ft,-,bridge,1964,
51,Americas Tower,11,692 ft,50,skyscraper,1992,
52,250 East 57th Street,19,689 ft,57,skyscraper,2017,
53,Solow Building,25,689 ft,50,skyscraper,1974,
54,HSBC Bank Building,17,688 ft,52,skyscraper,1967,
55,55 Water Street,35,687 ft,53,skyscraper,1972,
56,277 Park Avenue,11,687 ft,50,skyscraper,1962,
57,The Beekman Hotel & Residences,11,686 ft,47,skyscraper,2016,
58,1585 Broadway,16,685 ft,42,skyscraper,1989,
59,Random House Tower,46,684 ft,52,skyscraper,2003,
60,Four Seasons Hotel,19,682 ft,52,skyscraper,1993,
61,McGraw-Hill Building,7,674 ft,51,skyscraper,1969,
62,Lincoln Building,29,673 ft,55,skyscraper,1930,
63,Barclay Tower,109,673 ft,56,skyscraper,2007,
64,Paramount Plaza,19,670 ft,48,skyscraper,1971,
65,Trump Tower,29,664 ft,58,skyscraper,1983,
66,The Eugene,19,662 ft,63,skyscraper,2017,
67,Citicorp Building,29,658 ft,50,skyscraper,1990,
68,605 West 42nd Street,51,656 ft,60,skyscraper,2015,
69,Bank of New York Building,28,654 ft,50,skyscraper,1931,
70,Silver Towers 2,54,653 ft,58,skyscraper,2009,
71,Silver Towers 1,80,653 ft,58,skyscraper,2009,
72,599 Lexington Avenue,14,653 ft,50,skyscraper,1984,
73,712 5th Avenue,21,650 ft,52,skyscraper,1990,
74,Chanin Building,35,649 ft,56,skyscraper,1929,
75,245 Park Avenue,4,648 ft,44,skyscraper,1967,
76,Sony Tower,19,647 ft,37,skyscraper,1984,
77,Tower 28,,647 ft,58,skyscraper,2017,
78,225 Liberty Street,41,645 ft,44,skyscraper,1987,
79,One New York Plaza,38,640 ft,50,skyscraper,1969,
80,570 Lexington Avenue,31,640 ft,49,skyscraper,1931,
81,570 Lexington Avenue,2,640 ft,50,skyscraper,1931,
82,345 Park Avenue,8,634 ft,44,skyscraper,1969,
83,400 5th Avenue,91,632 ft,58,skyscraper,2010,
84,"W New York Downtown, Hotel and Residences",171,630 ft,57,skyscraper,2010,
85,W.R. Grace Building,50,630 ft,50,skyscraper,1974,
86,Home Insurance Plaza,7,630 ft,45,skyscraper,1966,
87,1095 Avenue of the Americas,67,630 ft,40,skyscraper,1974,
88,101 Park Avenue,33,629 ft,49,skyscraper,1982,
89,Central Park Place,21,628 ft,56,skyscraper,1988,
90,One Dag Hammarskjold Plaza,13,628 ft,49,skyscraper,1972,
91,888 7th Avenue,11,628 ft,46,skyscraper,1971,
92,Waldorf=Astoria,20,625 ft,47,skyscraper,1931,
93,Burlington House,5,625 ft,50,skyscraper,1969,
94,Trump Palace Condominiums,14,623 ft,54,skyscraper,1991,
95,Olympic Tower,9,620 ft,51,skyscraper,1976,
96,Mercantile Building,16,620 ft,48,skyscraper,1929,
97,425 5th Avenue,52,618 ft,55,skyscraper,2003,
98,One Madison Park,160,618 ft,51,skyscraper,2011,
99,MiMA,103,617 ft,60,skyscraper,2011,
100,919 Third Avenue,4,615 ft,47,skyscraper,1971,
101,New York Life Building,26,615 ft,40,skyscraper,1928,
102,750 Seventh Avenue,25,615 ft,35,skyscraper,1989,
103,The Epic,43,615 ft,58,skyscraper,2007,
104,Beatrice,82,614 ft,53,skyscraper,2010,
105,Tower 49®,18,614 ft,45,skyscraper,1985,
106,Baccarat Hotel & Residences,14,610 ft,50,skyscraper,2014,
107,555TEN,12,610 ft,53,skyscraper,2016,
108,Credit Lyonnais Building,5,609 ft,45,skyscraper,1964,
109,The Orion,88,604 ft,58,skyscraper,2006,
110,590 Madison Avenue,11,603 ft,41,skyscraper,1983,
111,Times Square Plaza,175,601 ft,40,skyscraper,2011,
112,1166 Avenue of the Americas,12,600 ft,44,skyscraper,1974,
113,Hawthorn Park,6,598 ft,54,skyscraper,2014,
114,The Hub,35,597 ft,53,skyscraper,2017,
115,Hearst Tower,143,597 ft,46,skyscraper,2006,
116,Radio/TV Tower at Brooklyn Tech,1,597 ft,-,mast (framework),-,
117,Three Lincoln Center Condominiums,10,595 ft,60,skyscraper,1993,
118,AVA DoBro,49,595 ft,57,skyscraper,2015,
119,Celanese Building,9,592 ft,45,skyscraper,1973,
120,Thurgood Marshall United States Courthouse,29,590 ft,37,skyscraper,1936,
121,The London NYC,18,590 ft,54,skyscraper,1990,
122,388 Bridge Street,21,590 ft,51,skyscraper,2014,
123,Sky House,45,588 ft,55,skyscraper,2008,
124,The Millenium Hilton,31,588 ft,59,skyscraper,1992,
125,Museum Tower,10,588 ft,52,skyscraper,1985,
126,Jacob K. Javits Federal Building,12,587 ft,42,skyscraper,1967,
127,Time-Life Building,12,587 ft,48,skyscraper,1958,
128,W Times Square,12,584 ft,53,skyscraper,2001,
129,Trump International Hotel & Tower,28,583 ft,44,skyscraper,1971,
130,J.P. Stevens Company Tower,5,580 ft,40,skyscraper,1971,
131,Manhattan Municipal Building,51,580 ft,34,skyscraper,1914,
132,520 Madison Avenue,17,577 ft,43,skyscraper,1982,
133,200 Liberty Street,14,577 ft,40,skyscraper,1985,
134,Merchandise Mart Building,15,576 ft,42,skyscraper,1974,
135,300 Madison Avenue,25,575 ft,38,skyscraper,2003,
136,Lehman Brothers Building,33,575 ft,38,skyscraper,2001,
137,One Financial Square,27,575 ft,37,skyscraper,1987,
138,5 Times Square,30,575 ft,40,skyscraper,2002,
139,Park Avenue Plaza Building,12,574 ft,45,skyscraper,1981,
140,New York Marriott Marquis,32,574 ft,56,skyscraper,1985,
141,299 Park Avenue,6,574 ft,43,skyscraper,1967,
142,Socony-Mobil Building,31,572 ft,42,skyscraper,1956,
143,1290 Avenue of the Americas,3,571 ft,44,skyscraper,1963,
144,780 Third Avenue,12,570 ft,50,skyscraper,1983,
145,600 3rd Avenue,13,570 ft,42,skyscraper,1972,
146,The Ashland,35,568 ft,52,skyscraper,2016,
147,600 Fulton Street,1,568 ft,51,skyscraper,2016,
148,450 Lexington Avenue,14,568 ft,38,skyscraper,1992,
149,Paramount Tower Apartments,8,567 ft,51,skyscraper,1998,
150,785 8th Avenue,97,566 ft,42,skyscraper,2009,
151,230 Park Avenue,20,565 ft,35,skyscraper,1929,
152,1214 Fifth Avenue,7,564 ft,39,skyscraper,2012,
153,Helmsley Palace Hotel,10,563 ft,51,skyscraper,1981,
154,Park Avenue Tower,11,561 ft,36,skyscraper,1987,
155,Swiss Bank Tower,6,561 ft,36,skyscraper,1990,
156,Continental Bank Building,9,561 ft,48,skyscraper,1932,
157,Nelson Tower,30,560 ft,46,skyscraper,1931,
158,Hotel Sherry-Netherland,20,560 ft,40,skyscraper,1927,
159,100 United Nations Plaza Tower,19,557 ft,52,skyscraper,1986,
160,Continental Can Building,6,557 ft,39,skyscraper,1961,
161,3 Park Avenue,20,556 ft,41,skyscraper,1975,
162,Reuters Building,24,555 ft,30,skyscraper,2001,
163,Sperry & Hutchinson Building,9,555 ft,41,skyscraper,1964,
164,Continental Center,24,554 ft,41,skyscraper,1983,
165,The Belvedere,8,554 ft,48,skyscraper,1999,
166,The Continental,33,554 ft,47,skyscraper,2011,
167,Interchem Building,7,552 ft,45,skyscraper,1970,
168,2 Grand Central Tower,8,551 ft,43,skyscraper,1985,
169,The Galleria,5,551 ft,55,skyscraper,1975,
170,Downtown by Philippe Starck,12,551 ft,42,skyscraper,1927,
171,AT&T Long Lines Building,12,551 ft,29,skyscraper,1974,
172,Unysys Building,8,551 ft,43,skyscraper,1963,
173,The Biltmore,24,550 ft,53,skyscraper,2003,
174,The Tower of 15 Central Park West,54,550 ft,35,skyscraper,2008,
175,Hyatt Centric Times Square,5,550 ft,54,skyscraper,2013,
176,250 West 55th Street,14,550 ft,39,skyscraper,2013,
177,Bankers Trust Annex Building,4,548 ft,43,skyscraper,1968,
178,The Corinthian,35,546 ft,55,skyscraper,1988,
179,Millennium Tower,10,545 ft,46,skyscraper,1994,
180,1285 Avenue of the Americas,4,545 ft,42,skyscraper,1960,
181,Tribeca Tower,13,545 ft,52,skyscraper,1991,
182,Transportation Building,24,545 ft,44,skyscraper,1927,
183,2 Gold Street,48,543 ft,51,skyscraper,2005,
184,220 Riverside Boulevard at Trump Place,18,542 ft,49,skyscraper,2003,
185,17 State Street,98,542 ft,41,skyscraper,1988,
186,Grand Central Plaza,2,542 ft,38,skyscraper,1973,
187,Ritz Hotel Tower,10,541 ft,41,skyscraper,1926,
188,Intergate Manhattan,81,541 ft,32,skyscraper,1976,
189,American Copper Building West Tower,21,540 ft,46,skyscraper,2017,
190,14 Wall,24,540 ft,29,skyscraper,1912,
191,Equitable Building,15,538 ft,40,skyscraper,1915,
192,Lefcourt Colonial Building,19,538 ft,45,skyscraper,1930,
193,21 West End Avenue,27,535 ft,43,skyscraper,2016,
194,1700 Broadway,10,533 ft,42,skyscraper,1969,
195,The Encore,19,533 ft,48,skyscraper,2016,
196,Westin New York at Times Square,38,532 ft,45,skyscraper,2002,
197,Du Mont Building,9,532 ft,42,skyscraper,1931,
198,515 Park Avenue,10,531 ft,43,skyscraper,1999,
199,The Metropolis,8,528 ft,48,skyscraper,2001,
200,810 7th Avenue,8,525 ft,42,skyscraper,1970,
201,Hotel Pierre,11,525 ft,41,skyscraper,1930,
202,767 Third Avenue,5,525 ft,39,skyscraper,1980,
203,City Point II,29,525 ft,46,skyscraper,2015,
204,399 Park Avenue,11,524 ft,41,skyscraper,1961,
205,William Beaver House,81,523 ft,44,skyscraper,2009,
206,Random House Building,8,522 ft,40,skyscraper,1969,
207,Atelier,49,521 ft,46,skyscraper,2007,
208,50 United Nations Plaza,33,520 ft,40,skyscraper,2014,
209,26 Broadway,60,520 ft,31,skyscraper,1924,
210,Newsweek Building,12,518 ft,43,skyscraper,1931,
211,Architect&#039;s and Designer&#039;s Building,7,518 ft,39,skyscraper,1969,
212,North American Plywood Building,6,518 ft,41,skyscraper,1972,
213,The Downtown Club,22,518 ft,39,skyscraper,1930,
214,South Park Tower,5,516 ft,51,skyscraper,1986,
215,Sterling Drug Company Building,16,515 ft,41,skyscraper,1964,
216,Seagram Building,22,515 ft,38,skyscraper,1958,
217,Cassa Hotel 45th Street New York,44,514 ft,47,skyscraper,2010,
218,The Brooklyner,42,514 ft,51,skyscraper,2010,
219,Bank of New York & Trust Company Building,20,513 ft,32,skyscraper,1929,
220,International Building,30,512 ft,39,skyscraper,1935,
221,The Belaire,5,512 ft,50,skyscraper,1988,
222,Millennium Towers North,20,512 ft,43,skyscraper,1930,
223,One Hanson Place,31,512 ft,42,skyscraper,1929,
224,1407 Broadway,25,512 ft,42,skyscraper,1950,
225,ITT-American Building,5,512 ft,40,skyscraper,1967,
226,Continental Building,10,511 ft,42,skyscraper,1931,
227,1155 Avenue of the Americas,46,511 ft,40,skyscraper,1984,
228,Liberty Plaza,58,510 ft,45,skyscraper,2004,
229,Highpoint Condominiums,9,509 ft,48,skyscraper,1987,
230,The Hayden,,509 ft,50,skyscraper,2017,
231,The Sheffield,8,505 ft,50,skyscraper,1978,
232,One United Nations Plaza,35,505 ft,39,skyscraper,1975,
233,Two United Nations Plaza,12,505 ft,39,skyscraper,1981,
234,United Nations Secretariat Building,40,505 ft,39,skyscraper,1952,
235,Two New York Plaza,19,504 ft,40,skyscraper,1971,
236,Johns-Manville Building,30,503 ft,43,skyscraper,1931,
237,Lefcourt National Building,8,503 ft,40,skyscraper,1929,
238,60 Broad Street,14,503 ft,39,skyscraper,1961,
239,1325 Avenue of the Americas,4,502 ft,35,skyscraper,1989,
240,Sheraton New York,2,501 ft,51,skyscraper,1962,
241,World Apparel Center,10,501 ft,42,skyscraper,1969,
242,Bristol Plaza Apartments,10,500 ft,50,skyscraper,1987,
243,The Olivia,9,500 ft,35,skyscraper,2001,
244,250 Vesey Street,18,500 ft,34,skyscraper,1986,
245,Barclay-Vesey Building,35,498 ft,32,skyscraper,1927,
246,80 Pine Street,16,497 ft,40,skyscraper,1960,
247,The Platinum,55,496 ft,43,skyscraper,2008,
248,Financial Times Building,11,496 ft,41,skyscraper,1965,
249,Shearson Lehman Plaza,15,496 ft,38,skyscraper,1988,
250,20 Pine,25,495 ft,38,skyscraper,1928,
251,One Battery Park Plaza,16,495 ft,36,skyscraper,1971,
252,Tower 67 Apartments,3,494 ft,49,skyscraper,1986,
253,Colonnade 57 Condominiums,5,493 ft,45,skyscraper,1982,
254,Waterford Condominiums,9,492 ft,45,skyscraper,1987,
255,Fuller Building,12,492 ft,40,skyscraper,1929,
256,650 Fifth Avenue,10,492 ft,36,skyscraper,1978,
257,200 Riverside Boulevard at Trump Place,12,492 ft,46,skyscraper,1999,
258,Chelsea Stratus,55,491 ft,40,skyscraper,2008,
259,CBS Building,11,491 ft,38,skyscraper,1965,
260,One Lincoln Plaza Apartments,16,490 ft,46,skyscraper,1972,
261,66 Rockwell Place Apartments,33,489 ft,44,skyscraper,2014,
262,Time-Life Building,2,489 ft,34,skyscraper,1937,
263,New York Hilton Hotel,11,487 ft,49,skyscraper,1963,
264,One East River Place,10,486 ft,50,skyscraper,1989,
265,McGraw-Hill Building,19,485 ft,33,skyscraper,1931,
266,Holiday Inn Financial District,16,485 ft,50,skyscraper,2014,
267,1675 Broadway,8,485 ft,35,skyscraper,1990,
268,575 Fifth Avenue,8,484 ft,35,skyscraper,1983,
269,666 5th Avenue,18,483 ft,39,skyscraper,1957,
270,Excelsior Apartments,6,482 ft,47,skyscraper,1967,
271,Millennium Broadway Hotel,4,481 ft,47,skyscraper,1990,
272,1 QPS Tower,3,481 ft,44,skyscraper,2016,
273,Crowne Plaza Hotel,16,480 ft,46,skyscraper,1989,
274,EŌS,29,479 ft,41,skyscraper,2016,
275,ALTA LIC,,479 ft,44,skyscraper,2018,
276,Consolidated Gas Building,11,478 ft,24,skyscraper,1928,
277,Daily News Building,6,476 ft,36,skyscraper,1930,
278,Mutual of America Building,20,476 ft,34,skyscraper,1960,
279,400 Park Avenue South,85,476 ft,42,skyscraper,2014,
280,Riverbank West Apartments,12,476 ft,45,skyscraper,1987,
281,Federal Office Building,15,475 ft,34,skyscraper,1994,
282,Flatotel New York City,3,475 ft,46,skyscraper,1992,
283,Hilton Times Square,6,475 ft,39,skyscraper,2000,
284,Marymount University Dormitory,7,473 ft,48,skyscraper,2001,
285,Harper & Row Building,6,473 ft,38,skyscraper,1972,
286,12 MetroTech Center,22,473 ft,32,skyscraper,2005,
287,International Plaza,14,473 ft,30,skyscraper,1988,
288,Solow Tower Apartments,9,472 ft,46,skyscraper,1979,
289,"505 West 37th Street, East Tower",64,472 ft,43,skyscraper,2010,
290,Park Avenue Place,22,472 ft,38,skyscraper,2004,
291,United States Plywood Building,4,472 ft,38,skyscraper,1961,
292,The Link,36,471 ft,43,skyscraper,2007,
293,325 5th Avenue,28,471 ft,42,skyscraper,2006,
294,Embassy Suites Times Square,9,470 ft,46,skyscraper,1990,
295,Aire,35,470 ft,42,skyscraper,2010,
296,New Yorker Hotel,25,470 ft,41,skyscraper,1930,
297,Hampshire House,15,470 ft,37,skyscraper,1937,
298,75 Wall,19,470 ft,36,skyscraper,1987,
299,Capitol-EMI Building,6,470 ft,34,skyscraper,1971,
300,American Copper Building East Tower,5,470 ft,35,skyscraper,2017,
301,900 3rd Avenue,5,469 ft,32,skyscraper,1983,
302,VIA 57 West,86,467 ft,34,skyscraper,2016,
303,500 Park Tower,6,466 ft,40,skyscraper,1984,
304,The Marc,25,464 ft,42,skyscraper,2004,
305,One Columbus Place Tower II,4,464 ft,49,skyscraper,1999,
306,One Columbus Place Tower I,7,464 ft,49,skyscraper,1999,
307,"Dillon, Read & Company Building",9,464 ft,36,skyscraper,1982,
308,The Oxford on 72nd,7,464 ft,44,skyscraper,1991,
309,The Atlas,17,463 ft,46,skyscraper,2002,
310,22 Cortlandt Street,11,463 ft,34,skyscraper,1971,
311,Victory Apartments,31,462 ft,45,skyscraper,2002,
312,Monarch Condominiums,6,462 ft,44,skyscraper,1986,
313,JW Marriott Essex House New York,13,461 ft,42,skyscraper,1931,
314,Leighton House Residence Tower,5,460 ft,46,skyscraper,1990,
315,Symphony House Apartments,12,460 ft,43,skyscraper,1986,
316,747 3rd Avenue,5,460 ft,37,skyscraper,1972,
317,International Gem Tower,25,460 ft,34,skyscraper,2013,
318,One State Street Plaza,19,459 ft,33,skyscraper,1969,
319,DoubleTree Hotel New York City - Financial District,20,458 ft,43,skyscraper,2010,
320,One West End,53,458 ft,42,skyscraper,2017,
321,Trump Parc Condominiums,20,456 ft,36,skyscraper,1930,
322,Paramount Building,14,455 ft,33,skyscraper,1927,
323,The Dominick Hotel,101,454 ft,46,skyscraper,2009,
324,53rd at Third,37,453 ft,34,skyscraper,1986,
325,The Dylan,,452 ft,34,skyscraper,2013,
326,160 Madison Avenue,14,452 ft,42,skyscraper,2015,
327,Tower 45,12,451 ft,40,skyscraper,1989,
328,1065 Avenue of the Americas,20,451 ft,38,skyscraper,1957,
329,Metropolitan Life North Building,17,451 ft,30,skyscraper,1933,
330,Sovereign Apartments,11,450 ft,48,skyscraper,1973,
331,Tower 31,22,450 ft,41,skyscraper,2006,
332,47 East 34th Street,18,450 ft,36,skyscraper,-,
333,Park Lane Hotel,9,450 ft,46,skyscraper,1971,
334,The Strathmore,10,450 ft,43,skyscraper,1996,
335,Dag Hammarskjold Tower,11,450 ft,43,skyscraper,1984,
336,Strand Condominiums,14,450 ft,41,skyscraper,1989,
337,7 Bryant Park,41,450 ft,28,skyscraper,2015,
338,Millennium Point,39,449 ft,38,skyscraper,2001,
339,America Apartments,4,449 ft,36,skyscraper,1987,
340,50 Broadway,4,448 ft,37,skyscraper,1927,
341,Wall Street Plaza,8,448 ft,33,skyscraper,1973,
342,1250 Broadway,10,447 ft,39,skyscraper,1970,
343,Liberty Court,28,445 ft,44,skyscraper,1987,
344,Club M at Turtle Bay,5,445 ft,39,skyscraper,1988,
345,Bridge Tower Place Condominiums,5,443 ft,38,skyscraper,2001,
346,100 Park Avenue,18,443 ft,36,skyscraper,1949,
347,Goldman Sachs Building,11,443 ft,32,skyscraper,1983,
348,Element New York Times Square West Hotel,10,443 ft,39,skyscraper,2010,
349,Lucerne Apartments,4,443 ft,45,skyscraper,1991,
350,Harriman Building,12,442 ft,37,skyscraper,1928,
351,One Seaport Plaza,23,440 ft,34,skyscraper,1984,
352,Mondrian Condominiums,22,439 ft,43,skyscraper,1992,
353,Park Laurel Condominiums,7,438 ft,40,skyscraper,2001,
354,Fifth Avenue Tower,2,438 ft,33,skyscraper,1986,
355,Bryant Park Tower,31,437 ft,43,skyscraper,2006,
356,600 Lexington,7,436 ft,36,skyscraper,1985,
357,Daily Commerce Building,3,436 ft,35,skyscraper,1931,
358,750 3rd Avenue,9,436 ft,34,skyscraper,1958,
359,Annenberg Building,15,436 ft,26,skyscraper,1976,
360,Archstone Midtown West,9,435 ft,40,skyscraper,1998,
361,745 5th Avenue,15,435 ft,34,skyscraper,1931,
362,60 East End Avenue,2,435 ft,43,skyscraper,1972,
363,ITT Building,11,433 ft,35,skyscraper,1928,
364,Confucius Plaza Apartments,24,433 ft,44,skyscraper,1976,
365,Vanderbilt Condominiums,3,433 ft,40,skyscraper,1986,
366,110 East 59th Street,6,432 ft,37,skyscraper,1969,
367,Bank of the U.S.,11,432 ft,36,skyscraper,1926,
368,Calyon Building,6,432 ft,32,skyscraper,1951,
369,Bush Tower,10,432 ft,30,skyscraper,1917,
370,The Savoy Condominiums,4,432 ft,42,skyscraper,1986,
371,218 West 35th Street,3,432 ft,39,skyscraper,2014,
372,121 East 57th Street,21,430 ft,31,skyscraper,1988,
373,Empire Trust Company Building,10,430 ft,33,skyscraper,1929,
374,Fred F. French Building,20,429 ft,38,skyscraper,1927,
375,AT&T Building,13,429 ft,28,skyscraper,1930,
376,870 U.N. Plaza Apartments,8,429 ft,40,skyscraper,1966,
377,860 U.N. Plaza Apartments,7,429 ft,40,skyscraper,1966,
378,Linc LIC,1,429 ft,42,skyscraper,2013,
379,101 Warren Street,97,428 ft,32,skyscraper,2008,
380,Manhattan Plaza Apartments II,8,428 ft,46,skyscraper,1977,
381,Manhattan Plaza Apartments I,6,428 ft,46,skyscraper,1977,
382,Squibb Building,9,428 ft,34,skyscraper,1972,
383,Finland House,2,427 ft,38,skyscraper,1970,
384,Broad Financial Center,12,427 ft,27,skyscraper,1986,
385,Greenwich Club Residences,24,427 ft,35,skyscraper,1930,
386,Carlyle Apartments,21,426 ft,38,skyscraper,1931,
387,Promenade Apartments,11,426 ft,37,skyscraper,1987,
388,The Royale Condominiums,5,425 ft,42,skyscraper,1986,
389,Yorkville Towers,3,425 ft,42,skyscraper,1975,
390,The Easton,11,425 ft,36,skyscraper,2016,
391,The Rushmore,46,425 ft,41,skyscraper,2008,
392,319 10th Avenue,5,425 ft,35,skyscraper,2017,
393,Time-Warner Building,4,424 ft,33,skyscraper,1947,
394,Whitehall Building Annex,19,424 ft,31,skyscraper,1911,
395,Adams Express Building,13,424 ft,33,skyscraper,1916,
396,Mortimer B. Zuckerman Research Center,33,424 ft,25,skyscraper,2006,
397,Murray Hill Mews Apartments,7,423 ft,36,skyscraper,1974,
398,Rio Condominium & Spa,2,423 ft,39,skyscraper,1986,
399,195 Broadway,19,422 ft,29,skyscraper,1914,
400,180 Riverside Boulevard at Trump Place,14,422 ft,40,skyscraper,1998,
401,489 5th Avenue,7,421 ft,34,skyscraper,1970,
402,2 Broadway,29,421 ft,32,skyscraper,1959,
403,45 East 89th Apartments,6,421 ft,38,skyscraper,1969,
404,Gracie Mews Apartments,2,421 ft,36,skyscraper,1980,
405,East Winds Condominiums,,421 ft,33,skyscraper,1976,
406,Archstone Chelsea,20,421 ft,36,skyscraper,2004,
407,Two Sutton Place North,13,421 ft,41,skyscraper,2014,
408,One Sutton Place North,9,421 ft,41,skyscraper,2003,
409,110 William Street,4,420 ft,32,skyscraper,1958,
410,Two Columbus Avenue,4,420 ft,41,skyscraper,1998,
411,MGM Building,5,416 ft,35,skyscraper,1966,
412,Crown Building,11,416 ft,25,skyscraper,1921,
413,Ruppert Houses,3,416 ft,42,skyscraper,1975,
414,Grolier Building,4,414 ft,33,skyscraper,1958,
415,280 Park Avenue,3,412 ft,31,skyscraper,1961,
416,Two Penn Plaza,12,412 ft,29,skyscraper,1968,
417,1 MetroTech Center,7,412 ft,23,skyscraper,1992,
418,505 Fifth Avenue,37,411 ft,26,skyscraper,2006,
419,425 Lexington Avenue,17,411 ft,31,skyscraper,1987,
420,31 West 52nd Street,3,411 ft,30,skyscraper,1986,
421,641 Lexington Avenue,5,410 ft,32,skyscraper,1964,
422,Daniel Patrick Moynihan United States Courthouse,9,410 ft,27,skyscraper,1994,
423,Citylights at Queens Landing,19,410 ft,42,skyscraper,1997,
424,1270 Avenue of the Americas,10,409 ft,31,skyscraper,1931,
425,Pfizer Building,2,409 ft,33,skyscraper,1961,
426,Bricken Casino Building,11,408 ft,35,skyscraper,1931,
427,475 Park Avenue South,9,408 ft,35,skyscraper,1969,
428,Oriana at River Tower,6,407 ft,38,skyscraper,1982,
429,80 DeKalb Avenue,33,405 ft,34,skyscraper,-,
430,DKLB BKLN,,405 ft,34,skyscraper,2010,
431,Miraval Living Condominiums,7,404 ft,39,skyscraper,1985,
432,1400 Broadway,12,404 ft,35,skyscraper,1931,
433,The Crest,21,404 ft,34,skyscraper,1929,
434,West End Towers,3,404 ft,38,skyscraper,1995,
435,Hunter’s Point South Commons,10,404 ft,37,skyscraper,2015,
436,Hilton Garden Inn New York/Times Square Central,,404 ft,37,skyscraper,2014,
437,Knickerbocker Plaza,4,404 ft,40,skyscraper,1974,
438,Barclay Apartments,2,404 ft,38,skyscraper,1985,
439,Riverside Park Community Apartments,7,404 ft,35,skyscraper,1976,
440,Harlem River Park Tower II,1,404 ft,44,skyscraper,1975,
441,Harlem River Park Tower I,1,404 ft,44,skyscraper,1975,
442,390 Madison Avenue,6,404 ft,32,skyscraper,1953,
443,National Westminster Bank,18,403 ft,30,skyscraper,1983,
444,Horizon Apartments,10,403 ft,42,skyscraper,1989,
445,Ivy Tower,14,403 ft,40,skyscraper,2003,
446,One River Place,18,403 ft,39,skyscraper,2001,
447,Ritz Plaza Apartments,5,403 ft,40,skyscraper,1990,
448,Stratford Apartments,5,402 ft,36,skyscraper,1969,
449,55 Broad Street,3,402 ft,31,skyscraper,1967,
450,Bricken Textile Building,5,401 ft,33,skyscraper,1930,
451,The Helena,33,401 ft,37,skyscraper,2005,
452,Tracey Towers Apartments II,2,400 ft,38,skyscraper,1972,
453,Tribeca Pointe,14,400 ft,42,skyscraper,1999,
454,Tracey Towers Apartments I,3,400 ft,41,skyscraper,1972,
455,Oro Condominium,60,400 ft,40,skyscraper,2008,
