#,Building,Images,Height,Floors,Building type,Year,Status
105,John Ferraro Building,9,210 ft,16,high-rise building,1964,
106,Mayfair Hotel,4,210 ft,15,high-rise building,1927,
107,Regency Wilshire Condominiums,2,209 ft,17,high-rise building,1982,
108,Title Guarantee Building,15,207 ft,13,high-rise building,1931,
109,One Bunker Hill Building,11,204 ft,14,high-rise building,1931,
110,2000 Avenue of the Stars,9,201 ft,13,high-rise building,2007,
111,Vue,,195 ft,16,high-rise building,2008,
112,611 Wilshire,1,195 ft,13,high-rise building,1959,
113,Van Nuys Courthouse West,,192 ft,10,high-rise building,1991,
114,Hotel Hayward,2,192 ft,15,high-rise building,1925,
115,A.G. Bartlett Building,2,192 ft,14,high-rise building,1911,
116,Hollywood Storage Building,8,191 ft,15,high-rise building,1925,
117,Title Exchange Building,2,190 ft,12,high-rise building,1928,
118,Jewelry Design Center,3,187 ft,13,high-rise building,1928,
119,Los Angeles Job Corps Center,2,186 ft,13,high-rise building,1925,
120,9th & Broadway Building,2,186 ft,13,high-rise building,1929,
121,Garfield Building,1,186 ft,13,high-rise building,1930,
122,First National Bank of Hollywood,6,183 ft,13,high-rise building,1927,
123,LA Jewelry Center,5,183 ft,12,high-rise building,1930,
124,Banks-Huntley Building,4,182 ft,14,high-rise building,1931,
125,"Sears, Roebuck & Company Building",2,182 ft,13,high-rise building,1925,
126,The Pegasus,3,182 ft,13,high-rise building,1949,
127,Seven Forty South Olive,,181 ft,12,high-rise building,1922,
128,Wilshire Professional Building,8,180 ft,13,high-rise building,1929,
129,9841 Airport Boulevard,,179 ft,13,high-rise building,1968,
130,Museum Square,4,179 ft,11,high-rise building,1948,
131,William Fox Building,,178 ft,13,high-rise building,1930,
132,United Building,,178 ft,12,high-rise building,1920,
133,Pacific Stock Exchange Building,3,178 ft,12,high-rise building,1930,
134,Premiere Towers,,176 ft,12,high-rise building,1930,
135,Financial Center Building,2,174 ft,13,high-rise building,1924,
136,Coast Savings Building,1,174 ft,12,high-rise building,1926,
137,818 Plaza,3,174 ft,12,high-rise building,1925,
138,650 South Spring Building,1,172 ft,12,high-rise building,1927,
139,Pershing Square Building,3,172 ft,13,high-rise building,1924,
140,810 South Flower Street,2,172 ft,13,high-rise building,1923,
141,Clifton A. Moore Administration Building,1,172 ft,12,airport tower,1961,
142,Park Plaza Hotel,2,172 ft,12,high-rise building,1925,
143,Hollywood Guaranty Building,4,172 ft,12,high-rise building,1924,
144,The Roosevelt,2,172 ft,12,high-rise building,1926,
145,Los Angeles Times Building,2,172 ft,10,high-rise building,1949,
146,Broadway Hollywood Building,,172 ft,9,high-rise building,1928,
147,6080 Center Drive,1,171 ft,12,high-rise building,2001,
148,Spring Tower Lofts,2,170 ft,14,high-rise building,1921,
149,Biltmore Hotel,3,170 ft,13,high-rise building,1923,
150,6253 Hollywood Boulevard,3,170 ft,13,high-rise building,1929,
151,SB Grand,,170 ft,13,high-rise building,1923,
152,Metro 417,1,170 ft,12,high-rise building,1925,
153,Taft Building,4,170 ft,12,high-rise building,1924,
154,SB Main,,170 ft,12,high-rise building,1925,
155,Chester Williams Building,3,170 ft,12,high-rise building,1926,
156,Fox Village Theatre,8,170 ft,-,building with towers,1931,
157,318 West 9th Street,1,170 ft,12,high-rise building,1924,
158,Broadway Trade Center,,170 ft,9,high-rise building,1906,
159,Great Republic Lofts,3,168 ft,13,high-rise building,1927,
160,Telecom Center LA,,168 ft,13,high-rise building,1928,
161,Van Nuys Apartments,3,168 ft,11,high-rise building,1913,
162,Arcade Building,11,167 ft,12,high-rise building,1923,
163,The Jonathan Club,,167 ft,12,high-rise building,1925,
164,Petroleum Building,,167 ft,11,high-rise building,1924,
165,Cooper Building,5,166 ft,12,high-rise building,1923,
166,Giannini Place,4,166 ft,12,high-rise building,1922,
167,Van Nuys City Hall,,165 ft,8,high-rise building,1933,
168,The Park Metro Wilshire,3,165 ft,13,high-rise building,1928,
169,4929 Wilshire,6,165 ft,10,high-rise building,1973,
170,Lofts at the Security Building,2,165 ft,12,high-rise building,1907,
171,Central Plaza 3,2,164 ft,12,high-rise building,1951,
172,Central Plaza 2,1,164 ft,12,high-rise building,1951,
173,Central Plaza 1,1,164 ft,12,high-rise building,1951,
174,Garment Lofts,4,164 ft,12,high-rise building,1926,
175,James Oviatt Building,14,162 ft,13,high-rise building,1928,
176,Rosslyn Studios,4,162 ft,13,high-rise building,1923,
177,The Collection Building,1,162 ft,13,high-rise building,1914,
178,Charles Chapman Building,4,162 ft,13,high-rise building,1912,
179,Western Pacific Building,,162 ft,12,high-rise building,1925,
180,Haas Building,2,162 ft,12,high-rise building,1915,
181,Alexandria Hotel Annex,,162 ft,12,high-rise building,1910,
182,Tower at Sherman Oaks,3,162 ft,14,high-rise building,1966,
183,Hollywood Roosevelt Hotel,12,161 ft,12,high-rise building,1926,
184,Commercial Exchange Building,1,160 ft,13,high-rise building,1904,
185,Los Angeles Athletic Club,5,160 ft,12,high-rise building,1912,
186,Los Angeles Central Library,14,160 ft,8,high-rise building,1925,
187,Broadway Building,,160 ft,11,high-rise building,1924,
188,Broadway Jewelry Plaza,1,160 ft,11,high-rise building,1910,
189,Wilshire Tower,2,159 ft,12,high-rise building,1929,
190,Corporation Building,4,158 ft,13,high-rise building,1914,
191,The Dream Center,,156 ft,14,high-rise building,1928,
192,The Gaylord Apartments,4,156 ft,13,high-rise building,1924,
193,The Town House,6,156 ft,13,high-rise building,1928,
194,Waite Phillips Hall of Education,,156 ft,12,high-rise building,1968,
195,Pellissier Building,4,155 ft,12,high-rise building,1931,
196,Transmission Tower,,155 ft,-,mast (pole),-,
197,Printing Center Building,,153 ft,12,high-rise building,1928,
198,Merchants Exchange Building,2,153 ft,12,high-rise building,1928,
199,635 South Hill Street,,153 ft,8,high-rise building,1925,
200,Bendix Building,,152 ft,12,high-rise building,1929,
201,Metropolitan Building,2,152 ft,9,high-rise building,1913,
202,Garland Building,1,152 ft,11,high-rise building,1912,
203,Asbury Apartments,1,151 ft,13,high-rise building,1926,
204,Hotel Figueroa,6,150 ft,13,high-rise building,1925,
205,Quinby Building,,150 ft,13,high-rise building,1926,
206,617 West 7th Building,5,150 ft,12,high-rise building,1922,
207,Rosslyn Lofts,,150 ft,12,high-rise building,1911,
208,Good Samaritan Hospital Old Building,2,150 ft,11,high-rise building,1927,
209,Crescent Arms,2,150 ft,11,high-rise building,1926,
210,Higgins Lofts,,150 ft,10,high-rise building,1910,
211,Standard Oil Building,3,150 ft,9,high-rise building,1924,
212,Staples Center,1,150 ft,-,stadium,1999,
213,Hollywood United Methodist Church,,150 ft,-,church,1929,
214,643 South Olive Street,,150 ft,10,high-rise building,1912,
215,Transmission Tower,,149 ft,-,mast (pole),-,
216,Apparel Mart Building,3,148 ft,12,high-rise building,1914,
217,El Royale Apartments,,144 ft,12,high-rise building,1929,
218,Ritz Milner Hotel,3,142 ft,12,high-rise building,1923,
219,Popular Center,,142 ft,9,high-rise building,1903,
220,Allied Craft Building,,140 ft,10,high-rise building,1926,
221,Pacific Electric Lofts,1,140 ft,9,high-rise building,1905,
222,"Santa Fe Lofts, Main Street Building",,140 ft,11,high-rise building,1906,
223,Hotel Clark,2,139 ft,11,high-rise building,1913,
224,Union Lofts,1,138 ft,10,high-rise building,1928,
225,California Club,,138 ft,8,high-rise building,1930,
226,Wilshire Boulevard Temple,2,136 ft,-,synagogue,1929,
227,Van Nuys Courthouse East,,136 ft,7,high-rise building,1964,
228,Theme Building,7,135 ft,2,observation tower,1961,
229,Union Station,28,135 ft,-,high-rise building,1939,
230,Bob Hope Patriotic Hall,3,134 ft,10,high-rise building,1925,
231,Times Mirror Square,,132 ft,8,high-rise building,1932,
232,6100 Center Drive,2,131 ft,12,high-rise building,2002,
233,808 Tower,,130 ft,10,high-rise building,1916,
234,Montecito Apartments,1,130 ft,10,high-rise building,1931,
235,Knickerbocker Hotel,2,130 ft,10,high-rise building,1925,
236,1601 Vine,,130 ft,8,high-rise building,2017,
237,1060 South Broadway,,129 ft,10,high-rise building,1921,
238,Grayco Building,1,127 ft,9,high-rise building,1913,
239,Hollywood Reporter Building,2,125 ft,9,high-rise building,1948,
240,Dream Hollywood Hotel,,125 ft,10,high-rise building,2017,
241,Pavo Real Jewelry Plaza,1,124 ft,9,high-rise building,1907,
242,Transmission Tower,,123 ft,-,mast (framework),-,
243,"Santa Fe Lofts, Sixth Street Building",,122 ft,8,high-rise building,1917,
244,746 Building,1,122 ft,11,high-rise building,1918,
245,Transmission Tower,,121 ft,-,mast (pole),-,
246,Hollywood Plaza,,120 ft,10,high-rise building,1924,
247,Embassy Hotel & Auditorium,,120 ft,9,high-rise building,1914,
248,Transmission Tower,,120 ft,-,mast (framework),-,
249,Transmission Tower,,120 ft,-,mast (framework),-,
250,Talmadge Apartments,1,116 ft,11,high-rise building,1924,
251,Stillwell Hotel,1,115 ft,10,high-rise building,1913,
